2025-08-31 04:06:52,380 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:06:52,381 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:07:11,032 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:33:42,421 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:33:42,421 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:33:57,623 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:35:12,417 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:35:12,417 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:36:27,363 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:36:27,363 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:36:53,913 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:37:00,511 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:37:00,511 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:43:53,395 - RTPM_APP - WARNING - Frame sync mismatch: expected 27, got 25
2025-08-31 04:43:53,527 - RTPM_APP - WARNING - Frame sync mismatch: expected 28, got 26
2025-08-31 04:43:53,535 - RTPM_APP - WARNING - Frame sync mismatch: expected 29, got 27
2025-08-31 04:43:53,625 - RTPM_APP - WARNING - Frame sync mismatch: expected 30, got 28
2025-08-31 04:43:53,800 - RTPM_APP - WARNING - Frame sync mismatch: expected 31, got 29
2025-08-31 04:43:53,888 - RTPM_APP - WARNING - Frame sync mismatch: expected 32, got 30
2025-08-31 04:43:53,979 - RTPM_APP - WARNING - Frame sync mismatch: expected 33, got 31
2025-08-31 04:43:54,076 - RTPM_APP - WARNING - Frame sync mismatch: expected 34, got 32
2025-08-31 04:43:54,148 - RTPM_APP - WARNING - Frame sync mismatch: expected 35, got 33
2025-08-31 04:43:54,220 - RTPM_APP - WARNING - Frame sync mismatch: expected 36, got 34
2025-08-31 04:43:54,301 - RTPM_APP - WARNING - Frame sync mismatch: expected 37, got 35
2025-08-31 04:43:54,345 - RTPM_APP - WARNING - Frame sync mismatch: expected 38, got 36
2025-08-31 04:43:54,497 - RTPM_APP - WARNING - Frame sync mismatch: expected 39, got 37
2025-08-31 04:43:54,578 - RTPM_APP - WARNING - Frame sync mismatch: expected 40, got 38
2025-08-31 04:43:54,664 - RTPM_APP - WARNING - Frame sync mismatch: expected 41, got 39
2025-08-31 04:43:54,735 - RTPM_APP - WARNING - Frame sync mismatch: expected 42, got 40
2025-08-31 04:43:54,814 - RTPM_APP - WARNING - Frame sync mismatch: expected 43, got 41
2025-08-31 04:43:54,917 - RTPM_APP - WARNING - Frame sync mismatch: expected 44, got 42
2025-08-31 04:43:55,003 - RTPM_APP - WARNING - Frame sync mismatch: expected 45, got 43
2025-08-31 04:43:55,105 - RTPM_APP - WARNING - Frame sync mismatch: expected 46, got 44
2025-08-31 04:43:55,203 - RTPM_APP - WARNING - Frame sync mismatch: expected 47, got 45
